identifier,jp,en
FONT_NAME,"ＭＳ ゴシック","MS Gothic"
WINDOW_TITLE,"東方永夜抄　〜 Imperishable Night. ver 1.00d","Touhou Eiyashou ~ Imperishable Night. ver 1.00d"
ERR_LOGGER_START,"東方動作記録 --------------------------------------------- \r\n","Touhou log ---------------------------------------------\r\n"
ERR_OPTION_CHANGED_RESTART,"再起動を要するオプションが変更されたので再起動します\r\n","An option that requires a restart has been changed.\r\n"
ERR_D3D_ERR_COULD_NOT_CREATE_OBJ,"Direct3D オブジェクトは何故か作成出来なかった\r\n","Direct3D object could not be created for some reason\r\n"
DBG_SCREEN_INIT_32BITS,"初回起動、画面を 32Bits で初期化しました\r\n","First run, using 32-bit textures\r\n"
DBG_SET_REFRESH_RATE_60HZ,"リフレッシュレートを60Hzに変更を試みます\r\n","Attempting to change refresh rate to 60Hz...\r\n"
DBG_TRY_ASYNC_VSYNC,"VSync非同期可能かどうかを試みます\r\n","Testing whether async vsync is possible...\r\n"
DBG_USING_TL_HAL_MODE,"T&L HAL で動作しま〜す\r\n","Using T&L HAL!\r\n"
DBG_TL_HAL_UNAVAILABLE,"T&L HAL は使用できないようです\r\n","T&L HAL does not seem to be usable\r\n"
DBG_HAL_UNAVAILABLE,"HAL も使用できないようです\r\n","HAL isn't usable either\r\n"
DBG_USING_HAL_MODE,"HAL で動作します\r\n","Using HAL\r\n"
ERR_NO_SUPPORT_FOR_D3DTEXOPCAPS_ADD,"D3DTEXOPCAPS_ADD をサポートしていません、色加算エミュレートモードで動作します\r\n","D3DTEXOPCAPS_ADD isn't supported, using emulated blend mode...\r\n"
ERR_NO_LARGE_TEXTURE_SUPPORT,"512 以上のテクスチャをサポートしていません。殆どの絵がボケて表示されます。\r\n","Textures greater than 512 texels are unsupported. Expect textures to be blurred.\r\n"
ERR_D3DFMT_A8R8G8B8_UNSUPPORTED,"D3DFMT_A8R8G8B8 をサポートしていません、減色モードで動作します\r\n","D3DFMT_A8R8G8B8 isn't supported, using low-color mode...\r\n"
DBG_USING_REF_MODE,"REF で動作しますが、重すぎて恐らくゲームになりません...\r\n","Using REF renderer, but it might become too heavy for the game...\r\n"
DBG_CANT_SET_REFRESH_RATE,"リフレッシュレートが変更できません\r\n","Can't set refresh rate\r\n"
ERR_D3D_INIT_FAILED,"Direct3D の初期化に失敗、これではゲームは出来ません\r\n","Direct3D initialization failed, the game cannot be played.\r\n"
ERR_ASYNC_VSYNC_UNSUPPORTED,"非同期更新も行えません。一番汚いモードに変更します\r\n","Can't do async vsync. Switching to the worst mode...\r\n"
ERR_CHANGE_REFRESH_RATE,"*** リフレッシュレートを60Hzに変更することを推奨します ***\r\n","*** You should change your refresh rate to 60Hz ***\r\n"
DBG_D3D_CAPS_START,"現在のビデオカード、及びドライバの能力詳細\r\n","Current video card and driver capabilities\r\n"
DBG_CAPS_READ_SCANLINE,"　走査線取得能力 : ","  Get current scanline: "
DBG_CAPS_WINDOW_MODE_RENDERING,"　ウィンドウモードのレンダリング : ","  Render in windowed mode: "
DBG_CAPS_IMMEDIATE_PRESENTATION_SWAP,"　プレゼンテーション間隔（直接）: ","  Immediately swap presentation: "
